year,opening_rank,closing_rank,category,college,branch
2020-21,2575,160,General,B.Tech(ICT),Chemical
2020-21,18111,6502,General,B.Tech(ICT),Chemical
2020-21,183,23235,General,B.Tech(ICT),Chemical
2020-21,8897,2316,General,B.Tech(ICT),Chemical
2020-21,22840,3406,General,B.Tech(ICT),Chemical
2020-21,17577,3406,General,B.Tech(ICT),Chemical
2020-21,3433,804,General,B.Tech(ICT),Chemical
2020-21,12646,2062,General,B.Tech(ICT),Civil
2020-21,25531,5660,General,B.Tech(ICT),Civil
2020-21,193,8327,General,B.Tech(ICT),Civil
2020-21,19893,2830,General,B.Tech(ICT),Civil
2020-21,202,9127,General,B.Tech(ICT),Civil
2020-21,204,10887,General,B.Tech(ICT),Civil
2020-21,205,13944,General,B.Tech(ICT),Civil
2020-21,207,13042,General,B.Tech(ICT),Civil
2020-21,218,11826,General,B.Tech(ICT),Civil
2020-21,220,14099,General,B.Tech(ICT),Civil
2020-21,221,14419,General,B.Tech(ICT),Civil
2020-21,222,11224,General,B.Tech(ICT),Civil
2020-21,228,9380,General,B.Tech(ICT),Civil
2020-21,25600,5872,General,B.Tech(ICT),Civil
2020-21,11459,1535,General,B.Tech(ICT),Civil
2020-21,234,5910,General,B.Tech(ICT),Civil
2020-21,18788,2414,General,B.Tech(ICT),Civil
2020-21,14950,2615,General,B.Tech(ICT),Civil
2020-21,23443,17116,General,B.Tech(ICT),Civil
2020-21,24243,3016,General,B.Tech(ICT),Civil
2020-21,6100,846,General,B.Tech(ICT),Civil
2020-21,12557,980,General,B.Tech(ICT),Civil(Cons-Man)
2020-21,19537,3245,General,B.Tech(ICT),Civil(Cons-Man)
2020-21,177,75,General,B.Tech(ICT),Computer
2020-21,562,183,General,B.Tech(ICT),Computer
2020-21,420,194,General,B.Tech(ICT),Computer
2020-21,14472,16303,General,B.Tech(ICT),Computer
2020-21,364,27,General,B.Tech(ICT),Computer
2020-21,4918,178,General,B.Tech(ICT),Computer
2020-21,11547,1730,General,B.Tech(ICT),Computer
2020-21,1701,703,General,B.Tech(ICT),Computer
2020-21,18800,12211,General,B.Tech(ICT),Computer
2020-21,18897,19531,General,B.Tech(ICT),Computer
2020-21,3062,1571,General,B.Tech(ICT),Computer
2020-21,160,24711,General,B.Tech(ICT),Computer
2020-21,10377,4568,General,B.Tech(ICT),Computer
2020-21,9173,4526,General,B.Tech(ICT),Computer
2020-21,10582,4749,General,B.Tech(ICT),Computer
